jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Powiat m.Włocławek,,,,,,,,,,,,,4365.0,3634.0,3485.0,3403.0,3615.0,2677.0,2875.0
Powiat inowrocławski,,,,,,,,,,,,,3867.0,3322.0,3047.0,2611.0,3111.0,9775.0,2303.0
Powiat mogileński,,,,,,,,,,,,,2090.0,658.0,543.0,549.0,646.0,636.0,618.0
Powiat nakielski,,,,,,,,,,,,,2237.0,1968.0,1572.0,1447.0,1312.0,1749.0,1525.0
Powiat żniński,,,,,,,,,,,,,1354.0,1136.0,1142.0,1195.0,991.0,1082.0,1066.0
Powiat sępoleński,,,,,,,,,,,,,849.0,732.0,591.0,526.0,604.0,771.0,696.0
Powiat świecki,,,,,,,,,,,,,2057.0,1569.0,1511.0,1365.0,1350.0,1549.0,1418.0
Powiat tucholski,,,,,,,,,,,,,844.0,748.0,534.0,482.0,452.0,622.0,604.0
POMORSKIE,,113672.0,112533.0,110587.0,99594.0,90182.0,74297.0,75171.0,90751.0,81849.0,74488.0,63292.0,65796.0,54739.0,49050.0,46072.0,44110.0,45378.0,48322.0
Powiat gdański,,,,,,,,,,,,,3435.0,3148.0,2426.0,2317.0,2454.0,2632.0,3229.0
Powiat kartuski,,,,,,,,,,,,,2080.0,1935.0,2116.0,2087.0,1896.0,1842.0,1967.0
Powiat nowodworski,,,,,,,,,,,,,1110.0,822.0,713.0,780.0,674.0,611.0,579.0
Powiat pucki,,,,,,,,,,,,,2379.0,1739.0,2054.0,1495.0,1580.0,1342.0,1495.0
Powiat wejherowski,,,,,,,,,,,,,4229.0,3900.0,3742.0,3380.0,3132.0,3416.0,3279.0
Powiat bytowski,,,,,,,,,,,,,1679.0,1228.0,1191.0,1128.0,931.0,1369.0,1251.0
Powiat lęborski,,,,,,,,,,,,,1880.0,1673.0,1539.0,1315.0,1339.0,1772.0,1261.0
Powiat słupski,,,,,,,,,,,,,2083.0,1798.0,1497.0,1359.0,1394.0,1552.0,1519.0
Powiat m.Słupsk,,,,,,,,,,,,,2831.0,2524.0,1942.0,1887.0,1713.0,1905.0,1908.0
Powiat kwidzyński,,,,,,,,,,,,,1900.0,1495.0,1362.0,1268.0,1325.0,1286.0,1170.0
Powiat malborski,,,,,,,,,,,,,1484.0,1187.0,1396.0,1163.0,1006.0,1101.0,1159.0
Powiat starogardzki,,,,,,,,,,,,,2859.0,2589.0,2774.0,2611.0,2434.0,2561.0,2454.0
Powiat tczewski,,,,,,,,,,,,,3093.0,3028.0,2803.0,2222.0,2073.0,2115.0,2328.0
Powiat sztumski,,,,,,,,,,,,,911.0,749.0,781.0,542.0,617.0,575.0,618.0
Powiat m.Gdańsk,,,,,,,,,,,,,17561.0,12335.0,11203.0,11155.0,11622.0,10760.0,13871.0
Powiat m.Gdynia,,,,,,,,,,,,,8689.0,7996.0,6012.0,6215.0,5581.0,5883.0,5549.0
Powiat m.Sopot,,,,,,,,,,,,,2736.0,2390.0,2046.0,2057.0,1377.0,1321.0,1400.0
Powiat chojnicki,,,,,,,,,,,,,2463.0,2006.0,1492.0,1397.0,1380.0,1704.0,1618.0
Powiat człuchowski,,,,,,,,,,,,,1188.0,1073.0,871.0,686.0,561.0,691.0,655.0
Powiat kościerski,,,,,,,,,,,,,1206.0,1124.0,1090.0,1008.0,1021.0,940.0,1012.0
WARMIŃSKO-MAZURSKIE,,58604.0,55970.0,53476.0,50234.0,48926.0,44876.0,39364.0,38841.0,37666.0,39193.0,37375.0,32988.0,30467.0,27120.0,26971.0,24490.0,25203.0,25839.0
Powiat braniewski,,,,,,,,,,,,,1136.0,878.0,803.0,796.0,799.0,744.0,823.0
Powiat działdowski,,,,,,,,,,,,,1501.0,1129.0,1178.0,1001.0,956.0,995.0,1050.0
Powiat elbląski,,,,,,,,,,,,,1462.0,1507.0,1037.0,1217.0,816.0,876.0,825.0
Powiat iławski,,,,,,,,,,,,,1989.0,1908.0,1640.0,1852.0,1530.0,1746.0,1701.0
Powiat nowomiejski,,,,,,,,,,,,,733.0,673.0,624.0,657.0,653.0,660.0,755.0
Powiat ostródzki,,,,,,,,,,,,,2370.0,2101.0,2038.0,1921.0,1811.0,1755.0,1847.0
Powiat m.Elbląg,,,,,,,,,,,,,3582.0,3399.0,3183.0,2876.0,2833.0,2711.0,2802.0
Powiat ełcki,,,,,,,,,,,,,1931.0,1784.0,1707.0,1552.0,1567.0,1679.0,1623.0
Powiat giżycki,,,,,,,,,,,,,1347.0,1122.0,1015.0,1025.0,902.0,1066.0,992.0
Powiat olecki,,,,,,,,,,,,,738.0,578.0,551.0,438.0,564.0,526.0,606.0
Powiat piski,,,,,,,,,,,,,1285.0,1031.0,1092.0,1089.0,980.0,896.0,1014.0
Powiat gołdapski,,,,,,,,,,,,,550.0,418.0,382.0,350.0,265.0,335.0,495.0
Powiat węgorzewski,,,,,,,,,,,,,530.0,486.0,387.0,338.0,318.0,330.0,308.0
Powiat bartoszycki,,,,,,,,,,,,,1010.0,1115.0,900.0,908.0,795.0,931.0,931.0
Powiat kętrzyński,,,,,,,,,,,,,1053.0,917.0,703.0,750.0,728.0,799.0,926.0
Powiat lidzbarski,,,,,,,,,,,,,778.0,763.0,668.0,769.0,545.0,635.0,615.0
Powiat mrągowski,,,,,,,,,,,,,1016.0,1416.0,665.0,803.0,614.0,710.0,724.0
Powiat nidzicki,,,,,,,,,,,,,961.0,817.0,919.0,919.0,646.0,731.0,730.0
Powiat olsztyński,,,,,,,,,,,,,2562.0,2175.0,1847.0,1816.0,1931.0,2008.0,1912.0
Powiat szczycieński,,,,,,,,,,,,,1660.0,1444.0,1265.0,1311.0,1200.0,1208.0,1403.0
Powiat m.Olsztyn,,,,,,,,,,,,,4794.0,4806.0,4516.0,4583.0,4037.0,3862.0,3757.0
ŁÓDZKIE,,88534.0,93333.0,93025.0,86747.0,79563.0,73196.0,71363.0,71104.0,74725.0,73919.0,68463.0,66474.0,51927.0,48321.0,46039.0,44056.0,43212.0,45777.0
Powiat łódzki wschodni,,,,,,,,,,,,,1388.0,1049.0,963.0,1059.0,936.0,1155.0,1021.0
Powiat pabianicki,,,,,,,,,,,,,3072.0,1838.0,1855.0,1795.0,3327.0,1921.0,2641.0
Powiat zgierski,,,,,,,,,,,,,3554.0,2776.0,2375.0,2517.0,2260.0,2379.0,2611.0
Powiat brzeziński,,,,,,,,,,,,,645.0,500.0,809.0,510.0,454.0,409.0,582.0
Powiat m.Łódź,,,,,,,,,,,,,25675.0,20601.0,19445.0,16652.0,16040.0,14878.0,14955.0
Powiat bełchatowski,,,,,,,,,,,,,2794.0,2655.0,2069.0,2307.0,1893.0,1884.0,2241.0
Powiat opoczyński,,,,,,,,,,,,,1964.0,1183.0,1078.0,1438.0,1094.0,1160.0,2085.0
Powiat piotrkowski,,,,,,,,,,,,,1682.0,1090.0,874.0,956.0,768.0,1875.0,1068.0
Powiat radomszczański,,,,,,,,,,,,,2951.0,2259.0,2062.0,2261.0,1988.0,2298.0,1881.0
Powiat tomaszowski,,,,,,,,,,,,,2689.0,2116.0,1932.0,1873.0,1869.0,1802.0,1735.0
Powiat m.Piotrków Trybunalski,,,,,,,,,,,,,2386.0,2235.0,1799.0,1922.0,1650.0,1674.0,2041.0
Powiat łaski,,,,,,,,,,,,,1109.0,759.0,605.0,615.0,963.0,617.0,635.0
Powiat pajęczański,,,,,,,,,,,,,983.0,526.0,486.0,534.0,572.0,471.0,418.0
Powiat poddębicki,,,,,,,,,,,,,1005.0,681.0,666.0,504.0,496.0,496.0,517.0
Powiat sieradzki,,,,,,,,,,,,,2613.0,2229.0,2029.0,1568.0,1410.0,1691.0,1751.0
Powiat wieluński,,,,,,,,,,,,,1599.0,1383.0,1582.0,957.0,979.0,1028.0,1095.0
Powiat wieruszowski,,,,,,,,,,,,,779.0,812.0,622.0,456.0,518.0,462.0,949.0
Powiat zduńskowolski,,,,,,,,,,,,,1522.0,1255.0,1339.0,860.0,1088.0,1104.0,933.0
Powiat kutnowski,,,,,,,,,,,,,2128.0,1746.0,1676.0,3073.0,1940.0,1866.0,1935.0
Powiat łęczycki,,,,,,,,,,,,,842.0,602.0,581.0,562.0,682.0,638.0,902.0
Powiat łowicki,,,,,,,,,,,,,1971.0,1214.0,1214.0,1383.0,1203.0,1428.0,1141.0
Powiat rawski,,,,,,,,,,,,,1126.0,890.0,901.0,852.0,745.0,688.0,1161.0
Powiat skierniewicki,,,,,,,,,,,,,622.0,489.0,417.0,413.0,348.0,426.0,432.0
Powiat m.Skierniewice,,,,,,,,,,,,,1375.0,1039.0,942.0,972.0,833.0,862.0,1047.0
ŚWIĘTOKRZYSKIE,,39063.0,42565.0,42462.0,39944.0,41074.0,40561.0,34606.0,35619.0,33382.0,34321.0,31691.0,29201.0,25476.0,24749.0,18970.0,21085.0,20271.0,21340.0
Powiat kielecki,,,,,,,,,,,,,3507.0,2465.0,2299.0,2030.0,2303.0,2065.0,1944.0
Powiat konecki,,,,,,,,,,,,,1196.0,1020.0,1062.0,1111.0,958.0,965.0,999.0
Powiat ostrowiecki,,,,,,,,,,,,,2929.0,1974.0,1942.0,1440.0,1601.0,1758.0,1855.0
Powiat skarżyski,,,,,,,,,,,,,1570.0,2310.0,2269.0,1362.0,1563.0,1995.0,1998.0
Powiat starachowicki,,,,,,,,,,,,,3134.0,2750.0,2147.0,1403.0,1943.0,1424.0,1755.0
Powiat m.Kielce,,,,,,,,,,,,,7539.0,6201.0,4995.0,5143.0,4853.0,5206.0,5956.0
Powiat buski,,,,,,,,,,,,,1113.0,2218.0,774.0,1084.0,1062.0,1033.0,1225.0
Powiat jędrzejowski,,,,,,,,,,,,,2804.0,1515.0,1079.0,937.0,897.0,1568.0,1642.0
Powiat kazimierski,,,,,,,,,,,,,420.0,355.0,1895.0,350.0,261.0,435.0,416.0
Powiat opatowski,,,,,,,,,,,,,1062.0,1081.0,551.0,831.0,2121.0,648.0,650.0
Powiat pińczowski,,,,,,,,,,,,,633.0,512.0,465.0,834.0,421.0,668.0,495.0
Powiat sandomierski,,,,,,,,,,,,,1418.0,1012.0,990.0,985.0,913.0,943.0,1042.0
Powiat staszowski,,,,,,,,,,,,,950.0,1547.0,1026.0,919.0,1454.0,802.0,799.0
Powiat włoszczowski,,,,,,,,,,,,,926.0,516.0,3255.0,541.0,735.0,761.0,564.0
LUBELSKIE,,65757.0,64659.0,64136.0,61358.0,57329.0,51222.0,50032.0,48307.0,47783.0,51471.0,48921.0,44684.0,36886.0,32981.0,31221.0,31076.0,34181.0,33596.0
Powiat bialski,,,,,,,,,,,,,2417.0,1570.0,1624.0,1455.0,1427.0,2020.0,1711.0
Powiat parczewski,,,,,,,,,,,,,805.0,543.0,375.0,384.0,435.0,509.0,496.0
Powiat radzyński,,,,,,,,,,,,,1090.0,915.0,743.0,768.0,698.0,752.0,758.0
Powiat włodawski,,,,,,,,,,,,,773.0,576.0,580.0,614.0,509.0,568.0,636.0
Powiat m.Biała Podlaska,,,,,,,,,,,,,1547.0,1175.0,1246.0,1078.0,1095.0,1144.0,1303.0
Powiat biłgorajski,,,,,,,,,,,,,1520.0,1209.0,966.0,1065.0,1667.0,975.0,1327.0
Powiat chełmski,,,,,,,,,,,,,1631.0,1330.0,1172.0,1032.0,1027.0,1244.0,1053.0
Powiat hrubieszowski,,,,,,,,,,,,,1355.0,1284.0,1390.0,1114.0,1084.0,1706.0,1142.0
Powiat krasnostawski,,,,,,,,,,,,,1171.0,859.0,811.0,1057.0,798.0,1151.0,899.0
Powiat tomaszowski,,,,,,,,,,,,,1383.0,1254.0,1152.0,989.0,1061.0,1169.0,1156.0
Powiat zamojski,,,,,,,,,,,,,1489.0,1239.0,954.0,958.0,892.0,999.0,1164.0
Powiat m.Chełm,,,,,,,,,,,,,1995.0,1878.0,1968.0,1779.0,1285.0,1460.0,1292.0
Powiat m.Zamość,,,,,,,,,,,,,1504.0,1047.0,1101.0,958.0,1285.0,1059.0,1138.0
Powiat lubartowski,,,,,,,,,,,,,1454.0,1230.0,986.0,972.0,896.0,1192.0,1528.0
Powiat lubelski,,,,,,,,,,,,,2430.0,2154.0,1667.0,1546.0,1362.0,1560.0,1621.0
Powiat łęczyński,,,,,,,,,,,,,1203.0,1042.0,841.0,877.0,866.0,1035.0,935.0
Powiat świdnicki,,,,,,,,,,,,,1328.0,1025.0,1016.0,899.0,775.0,1606.0,1223.0
Powiat m.Lublin,,,,,,,,,,,,,11131.0,9548.0,7711.0,7124.0,7634.0,6692.0,7488.0
Powiat janowski,,,,,,,,,,,,,756.0,507.0,702.0,613.0,481.0,575.0,574.0
Powiat kraśnicki,,,,,,,,,,,,,1626.0,1423.0,1203.0,1079.0,1161.0,2097.0,1390.0
Powiat łukowski,,,,,,,,,,,,,1598.0,1353.0,1243.0,1183.0,1172.0,1185.0,1327.0
Powiat opolski,,,,,,,,,,,,,1106.0,900.0,830.0,806.0,788.0,700.0,761.0
Powiat puławski,,,,,,,,,,,,,2455.0,2040.0,1976.0,2021.0,1836.0,1832.0,1878.0
Powiat rycki,,,,,,,,,,,,,917.0,785.0,724.0,850.0,842.0,951.0,796.0
PODKARPACKIE,,49881.0,50324.0,48360.0,43909.0,41356.0,37864.0,38043.0,38702.0,36885.0,38790.0,38152.0,35681.0,27908.0,27487.0,23437.0,29721.0,24257.0,26048.0
Powiat bieszczadzki,,,,,,,,,,,,,445.0,290.0,258.0,246.0,310.0,273.0,315.0
Powiat brzozowski,,,,,,,,,,,,,979.0,605.0,549.0,410.0,421.0,487.0,663.0
Powiat jasielski,,,,,,,,,,,,,1608.0,1175.0,889.0,946.0,1222.0,1135.0,1175.0
Powiat krośnieński,,,,,,,,,,,,,1078.0,531.0,3270.0,1008.0,1187.0,1135.0,874.0
Powiat sanocki,,,,,,,,,,,,,1473.0,1228.0,1132.0,1091.0,1154.0,1260.0,1421.0
Powiat leski,,,,,,,,,,,,,557.0,498.0,371.0,408.0,354.0,608.0,975.0
Powiat m.Krosno,,,,,,,,,,,,,1600.0,1384.0,1048.0,821.0,7075.0,872.0,1710.0
Powiat jarosławski,,,,,,,,,,,,,1840.0,1398.0,1269.0,1286.0,1254.0,1344.0,1139.0
Powiat lubaczowski,,,,,,,,,,,,,1040.0,627.0,527.0,566.0,462.0,675.0,502.0
Powiat przemyski,,,,,,,,,,,,,923.0,698.0,682.0,661.0,710.0,644.0,617.0
Powiat przeworski,,,,,,,,,,,,,1096.0,766.0,688.0,673.0,659.0,813.0,833.0
Powiat m.Przemyśl,,,,,,,,,,,,,1630.0,1307.0,1114.0,1119.0,910.0,999.0,1232.0
Powiat kolbuszowski,,,,,,,,,,,,,776.0,550.0,438.0,488.0,429.0,504.0,464.0
Powiat łańcucki,,,,,,,,,,,,,1478.0,992.0,907.0,880.0,747.0,689.0,798.0
Powiat ropczycko-sędziszowski,,,,,,,,,,,,,968.0,751.0,546.0,707.0,612.0,561.0,776.0
Powiat rzeszowski,,,,,,,,,,,,,1820.0,1447.0,1119.0,1182.0,1301.0,1251.0,1087.0
Powiat strzyżowski,,,,,,,,,,,,,733.0,515.0,437.0,424.0,373.0,646.0,483.0
Powiat m.Rzeszów,,,,,,,,,,,,,4618.0,4047.0,3528.0,3125.0,3364.0,3097.0,3085.0
Powiat dębicki,,,,,,,,,,,,,2033.0,1795.0,1570.0,1475.0,1659.0,1683.0,1618.0
Powiat leżajski,,,,,,,,,,,,,1266.0,791.0,736.0,743.0,666.0,712.0,653.0
Powiat mielecki,,,,,,,,,,,,,1826.0,1885.0,1872.0,1296.0,1197.0,1370.0,1489.0
Powiat niżański,,,,,,,,,,,,,1143.0,788.0,832.0,765.0,663.0,647.0,1066.0
Powiat stalowowolski,,,,,,,,,,,,,2319.0,1994.0,2038.0,1568.0,1494.0,1461.0,1548.0
Powiat tarnobrzeski,,,,,,,,,,,,,1005.0,719.0,591.0,710.0,615.0,645.0,656.0
Powiat m.Tarnobrzeg,,,,,,,,,,,,,1427.0,1127.0,1076.0,839.0,883.0,746.0,869.0
PODLASKIE,,34023.0,36842.0,36444.0,31873.0,27725.0,26651.0,25498.0,25819.0,24670.0,25588.0,25136.0,22368.0,18512.0,17470.0,17048.0,16460.0,17139.0,17339.0
Powiat białostocki,,,,,,,,,,,,,2124.0,1640.0,1437.0,1691.0,1514.0,1368.0,1490.0
Powiat sokólski,,,,,,,,,,,,,1068.0,1136.0,1362.0,787.0,938.0,983.0,1033.0
Powiat m.Białystok,,,,,,,,,,,,,6873.0,5332.0,5117.0,4937.0,4608.0,6143.0,5947.0
Powiat bielski,,,,,,,,,,,,,954.0,754.0,762.0,650.0,755.0,634.0,869.0
Powiat hajnowski,,,,,,,,,,,,,851.0,600.0,613.0,599.0,799.0,530.0,607.0
Powiat kolneński,,,,,,,,,,,,,525.0,493.0,410.0,355.0,375.0,341.0,353.0
Powiat łomżyński,,,,,,,,,,,,,668.0,607.0,531.0,462.0,408.0,445.0,474.0
Powiat siemiatycki,,,,,,,,,,,,,745.0,628.0,657.0,542.0,482.0,502.0,444.0
Powiat wysokomazowiecki,,,,,,,,,,,,,932.0,623.0,671.0,684.0,561.0,856.0,594.0
Powiat zambrowski,,,,,,,,,,,,,897.0,658.0,692.0,677.0,557.0,633.0,675.0
Powiat m.Łomża,,,,,,,,,,,,,1270.0,1219.0,1116.0,1852.0,2040.0,939.0,1096.0
Powiat augustowski,,,,,,,,,,,,,1026.0,1241.0,957.0,865.0,808.0,863.0,757.0
Powiat grajewski,,,,,,,,,,,,,901.0,588.0,562.0,474.0,399.0,467.0,539.0
Powiat moniecki,,,,,,,,,,,,,511.0,395.0,413.0,387.0,358.0,378.0,401.0
Powiat sejneński,,,,,,,,,,,,,403.0,379.0,295.0,290.0,310.0,271.0,293.0
Powiat suwalski,,,,,,,,,,,,,661.0,637.0,466.0,441.0,360.0,351.0,388.0
Powiat m.Suwałki,,,,,,,,,,,,,1959.0,1582.0,1409.0,1355.0,1188.0,1435.0,1379.0
MAZOWIECKIE,,194145.0,205581.0,208600.0,205990.0,189162.0,159857.0,136522.0,145274.0,140040.0,142551.0,142841.0,139641.0,118521.0,112453.0,108195.0,103962.0,112798.0,114957.0
Powiat m. st. Warszawa,,,,,,,,,,,,,55665.0,50274.0,48982.0,48580.0,45672.0,47102.0,50387.0
Powiat legionowski,,,,,,,,,,,,,3030.0,2476.0,2381.0,2151.0,2351.0,2313.0,2451.0
Powiat miński,,,,,,,,,,,,,2772.0,2357.0,2198.0,2259.0,2109.0,2326.0,2298.0
Powiat otwocki,,,,,,,,,,,,,2546.0,2261.0,2554.0,1855.0,1883.0,1899.0,1836.0
Powiat wołomiński,,,,,,,,,,,,,6033.0,5267.0,5061.0,4814.0,4507.0,6998.0,5285.0
Powiat grodziski,,,,,,,,,,,,,2199.0,1744.0,1749.0,1717.0,1687.0,1821.0,1706.0
Powiat nowodworski,,,,,,,,,,,,,2306.0,2018.0,1730.0,1704.0,1733.0,1704.0,1815.0
Powiat piaseczyński,,,,,,,,,,,,,3638.0,3355.0,3184.0,2954.0,3115.0,3286.0,3809.0
Powiat pruszkowski,,,,,,,,,,,,,3349.0,2923.0,2648.0,2670.0,2664.0,2665.0,3186.0
Powiat warszawski zachodni,,,,,,,,,,,,,2403.0,2185.0,1988.0,1889.0,1930.0,1941.0,2162.0
Powiat ciechanowski,,,,,,,,,,,,,2686.0,1822.0,2158.0,1444.0,1671.0,1967.0,1426.0
Powiat mławski,,,,,,,,,,,,,2008.0,1146.0,997.0,1011.0,987.0,1045.0,2388.0
Powiat płoński,,,,,,,,,,,,,1827.0,2669.0,1948.0,1354.0,2272.0,2427.0,1552.0
Powiat pułtuski,,,,,,,,,,,,,1562.0,1121.0,1179.0,939.0,882.0,973.0,1136.0
Powiat żuromiński,,,,,,,,,,,,,740.0,452.0,315.0,761.0,653.0,414.0,465.0
Powiat makowski,,,,,,,,,,,,,978.0,732.0,570.0,1065.0,886.0,673.0,838.0
Powiat ostrołęcki,,,,,,,,,,,,,1333.0,895.0,873.0,789.0,749.0,835.0,827.0
Powiat ostrowski,,,,,,,,,,,,,1787.0,1384.0,1103.0,1219.0,1052.0,1087.0,1127.0
Powiat przasnyski,,,,,,,,,,,,,1520.0,876.0,777.0,794.0,861.0,982.0,1204.0
Powiat wyszkowski,,,,,,,,,,,,,2161.0,1387.0,1241.0,1024.0,966.0,1143.0,1068.0
Powiat m.Ostrołęka,,,,,,,,,,,,,2114.0,1663.0,2356.0,996.0,1113.0,2320.0,1306.0
Powiat białobrzeski,,,,,,,,,,,,,701.0,566.0,495.0,427.0,350.0,425.0,445.0
Powiat kozienicki,,,,,,,,,,,,,1579.0,1065.0,950.0,1271.0,943.0,867.0,981.0
Powiat lipski,,,,,,,,,,,,,674.0,438.0,375.0,336.0,383.0,414.0,395.0
Powiat przysuski,,,,,,,,,,,,,886.0,576.0,644.0,517.0,616.0,845.0,721.0
Powiat radomski,,,,,,,,,,,,,2537.0,1814.0,1760.0,1391.0,1288.0,1624.0,1592.0
Powiat szydłowiecki,,,,,,,,,,,,,840.0,802.0,550.0,515.0,433.0,468.0,442.0
Powiat zwoleński,,,,,,,,,,,,,680.0,556.0,446.0,367.0,894.0,913.0,469.0
Powiat m.Radom,,,,,,,,,,,,,5422.0,5646.0,4280.0,4055.0,3823.0,5070.0,5008.0
Powiat gostyniński,,,,,,,,,,,,,754.0,640.0,530.0,482.0,552.0,582.0,529.0
Powiat płocki,,,,,,,,,,,,,1703.0,1442.0,1540.0,1116.0,969.0,1335.0,993.0
Powiat sierpecki,,,,,,,,,,,,,1295.0,713.0,981.0,924.0,843.0,903.0,779.0
Powiat m.Płock,,,,,,,,,,,,,3459.0,3009.0,2481.0,2590.0,2366.0,1863.0,2398.0
Powiat garwoliński,,,,,,,,,,,,,2528.0,1509.0,1835.0,1485.0,1402.0,1465.0,1737.0
Powiat łosicki,,,,,,,,,,,,,578.0,480.0,436.0,384.0,375.0,434.0,425.0
Powiat siedlecki,,,,,,,,,,,,,1119.0,910.0,788.0,774.0,667.0,871.0,742.0
Powiat sokołowski,,,,,,,,,,,,,1663.0,938.0,770.0,770.0,890.0,861.0,771.0
Powiat węgrowski,,,,,,,,,,,,,1882.0,1129.0,1118.0,1038.0,811.0,807.0,1045.0
Powiat m.Siedlce,,,,,,,,,,,,,1750.0,1524.0,1557.0,1405.0,1345.0,1774.0,1379.0
Powiat grójecki,,,,,,,,,,,,,2477.0,2149.0,1907.0,2202.0,2079.0,1952.0,2000.0
Powiat sochaczewski,,,,,,,,,,,,,2253.0,1515.0,1214.0,1243.0,1627.0,1506.0,1814.0
Powiat żyrardowski,,,,,,,,,,,,,2204.0,2093.0,1804.0,2914.0,1563.0,1898.0,2020.0
