jednostka,Blue,Red,Gray
Biała Podlaska,11653.0,6153.0,1374.0
Białystok,46349.0,37671.0,13503.0
Bielsko-Biała,32270.0,26174.0,7749.0
Bydgoszcz,53816.0,58600.0,13567.0
Bytom,21585.0,21196.0,6287.0
Chełm,10946.0,6616.0,3080.0
Chorzów,12456.0,16157.0,4647.0
Częstochowa,36934.0,34256.0,11241.0
Dąbrowa Górnicza,12116.0,17180.0,6794.0
Elbląg,16968.0,18957.0,4038.0
Gdańsk,64959.0,99249.0,19135.0
Gdynia,38249.0,53038.0,9112.0
Gliwice,23652.0,31119.0,7860.0
Gorzów Wielkopolski,20344.0,15710.0,3979.0
Grudziądz,12275.0,9218.0,5888.0
Jastrzębie-Zdrój,13579.0,14194.0,2630.0
Jaworzno,9305.0,14070.0,4876.0
Jelenia Góra,11266.0,13873.0,3590.0
Kalisz,16093.0,13507.0,5933.0
Katowice,42364.0,56289.0,14995.0
Kielce,34455.0,32039.0,9142.0
Konin,12206.0,11608.0,3722.0
Koszalin,16592.0,15929.0,5079.0
Kraków,140695.0,125107.0,31992.0
Krosno,9261.0,6385.0,1560.0
Legnica,16056.0,12787.0,3636.0
Leszno,7366.0,11021.0,2269.0
Lublin,67857.0,46640.0,17836.0
Mysłowice,11156.0,10069.0,2728.0
Nowy Sącz,17871.0,12454.0,2624.0
Olsztyn,22679.0,30062.0,7819.0
Opole,12578.0,21802.0,7331.0
Ostrołęka,11800.0,4019.0,1843.0
Piekary Śląskie,12290.0,4658.0,1747.0
Piotrków Trybunalski,13938.0,11279.0,2379.0
Polska,6295487.0,4184516.0,1324673.0
Poznań,80518.0,107510.0,29004.0
Przemyśl,11943.0,8707.0,1569.0
Płock,22225.0,15285.0,4618.0
Radom,43562.0,26768.0,8554.0
Ruda Śląska,18369.0,19544.0,5663.0
Rybnik,24251.0,17345.0,4053.0
Rzeszów,32279.0,20910.0,6554.0
Siedlce,15977.0,8116.0,3389.0
Siemianowice Śląskie,8281.0,10553.0,2227.0
Skierniewice,7721.0,5392.0,2371.0
Sopot,6215.0,10243.0,1946.0
Sosnowiec,23038.0,32643.0,11649.0
Statk,51.0,87.0,28.0
Statki,51.0,87.0,36.0
Suski,16333.0,6519.0,1767.0
Suwałki,11349.0,5874.0,2091.0
Szczecin,55613.0,67921.0,19160.0
Słupsk,15064.0,12688.0,4336.0
Tarnobrzeg,8077.0,6204.0,1439.0
Tarnów,23116.0,15217.0,4491.0
Toruń,30571.0,27082.0,11724.0
Tychy,20547.0,18804.0,5642.0
Warszawa,282677.0,323067.0,118495.0
Włocławek,16339.0,14113.0,5581.0
Zabrze,18578.0,20203.0,6447.0
Zagranic,13721.0,15391.0,3374.0
Zagranica,13721.0,15391.0,5649.0
Zamość,13164.0,6082.0,2636.0
Zielona Góra,16651.0,20733.0,3961.0
aleksandrowski,9826.0,4465.0,1532.0
augustowski,9927.0,3285.0,2487.0
bartoszycki,9904.0,3977.0,1957.0
bełchatowski,21491.0,8568.0,3830.0
bialski,26047.0,6638.0,1679.0
białobrzeski,7644.0,1830.0,474.0
białogardzki,7453.0,3043.0,885.0
białostocki,25898.0,9572.0,5409.0
bielski,40496.0,21819.0,6580.0
bieruńsko-lędziński,10225.0,6534.0,1347.0
bieszczadzki,2906.0,2606.0,496.0
biłgorajski,24194.0,5159.0,2854.0
bocheński,22921.0,7089.0,2781.0
bolesławiecki,10029.0,9218.0,4181.0
braniewski,5274.0,3848.0,1612.0
brodnicki,15178.0,4247.0,1438.0
brzeski,34288.0,14475.0,4502.0
brzeziński,6059.0,2073.0,972.0
brzozowski,15247.0,2655.0,1063.0
buski,14753.0,4947.0,1631.0
bydgoski,11363.0,8604.0,2622.0
bytowski,9562.0,8802.0,1760.0
będziński,16035.0,20170.0,7282.0
chełmiński,7164.0,3487.0,1514.0
chełmski,12750.0,2997.0,1450.0
chodzieski,6559.0,6251.0,1816.0
chojnicki,15595.0,9417.0,2453.0
choszczeński,6871.0,3822.0,804.0
chrzanowski,19724.0,14005.0,6042.0
ciechanowski,16896.0,7053.0,1864.0
cieszyński,24288.0,20319.0,6907.0
czarnkowsko-trzcianecki,11551.0,9134.0,3320.0
częstochowski,22853.0,9927.0,3337.0
człuchowski,7369.0,5153.0,1901.0
drawski,8207.0,4752.0,1586.0
działdowski,9410.0,4561.0,1512.0
dzierżoniowski,15100.0,13145.0,2680.0
dąbrowski,11356.0,5061.0,937.0
dębicki,32086.0,7254.0,3070.0
elbląski,6949.0,3788.0,1333.0
ełcki,11110.0,7623.0,1085.0
garwoliński,23096.0,7407.0,2274.0
gdański,10225.0,11211.0,2760.0
giżycki,7603.0,4897.0,1356.0
gliwicki,14259.0,13620.0,3914.0
gnieźnieński,20464.0,17476.0,3885.0
goleniowski,9539.0,8534.0,2139.0
golubsko-dobrzyński,7769.0,2101.0,1127.0
gorlicki,22753.0,9664.0,1486.0
gorzowski,8749.0,5511.0,1497.0
gostyniński,10297.0,2304.0,878.0
gostyński,11305.0,5906.0,1908.0
gołdapski,3781.0,1791.0,342.0
grajewski,8595.0,1730.0,1449.0
grodziski,20381.0,14161.0,3328.0
grudziądzki,6054.0,1660.0,903.0
gryficki,8388.0,5605.0,1428.0
gryfiński,11621.0,6274.0,2226.0
grójecki,22444.0,5015.0,1691.0
górowski,5188.0,2363.0,989.0
głogowski,13276.0,9282.0,3861.0
głubczycki,8265.0,3433.0,1403.0
hajnowski,4669.0,5771.0,1518.0
hrubieszowski,14961.0,2773.0,2170.0
inowrocławski,20984.0,14326.0,5698.0
iławski,13718.0,8323.0,2273.0
janowski,12129.0,1678.0,3966.0
jarociński,12110.0,5042.0,1780.0
jarosławski,30560.0,8999.0,1925.0
jasielski,27057.0,6289.0,1933.0
jaworski,8742.0,4338.0,1339.0
jeleniogórski,7189.0,7596.0,2594.0
jędrzejowski,17075.0,3978.0,1766.0
kaliski,14652.0,5088.0,1777.0
kamiennogórski,6222.0,4032.0,1677.0
kamieński,5825.0,5635.0,1196.0
kartuski,18062.0,13719.0,1979.0
kazimierski,6729.0,1260.0,685.0
kielecki,31567.0,10757.0,5994.0
kluczborski,10053.0,4595.0,2799.0
kolbuszowski,18002.0,1558.0,759.0
kolneński,8299.0,1110.0,773.0
kolski,17838.0,5127.0,2314.0
konecki,15428.0,6357.0,2112.0
koniński,20252.0,6306.0,3260.0
koszaliński,8675.0,4254.0,2153.0
kozienicki,13808.0,4274.0,1170.0
kołobrzeski,10739.0,9341.0,2046.0
kościański,9642.0,9616.0,1951.0
kościerski,10217.0,8353.0,1595.0
krakowski,46000.0,22397.0,5595.0
krapkowicki,3516.0,4023.0,6011.0
krasnostawski,16986.0,3046.0,1515.0
kraśnicki,23453.0,7864.0,2101.0
krotoszyński,12343.0,8575.0,2094.0
krośnieński,30532.0,13310.0,3463.0
kutnowski,19354.0,8139.0,2773.0
kwidzyński,8836.0,9463.0,1765.0
kędzierzyńsko-kozielski,8620.0,10002.0,6783.0
kępiński,9012.0,5186.0,1326.0
kętrzyński,8307.0,5773.0,1284.0
kłobucki,15082.0,5090.0,2020.0
kłodzki,26896.0,17463.0,4577.0
legionowski,14591.0,11955.0,4794.0
legnicki,8808.0,3942.0,1168.0
leski,4197.0,3255.0,529.0
leszczyński,7334.0,3984.0,1237.0
leżajski,14265.0,8351.0,922.0
lidzbarski,5620.0,3760.0,1237.0
limanowski,29347.0,7590.0,2236.0
lipnowski,10566.0,3291.0,1194.0
lipski,6314.0,4619.0,532.0
lubaczowski,13692.0,3177.0,1134.0
lubartowski,19358.0,4894.0,2570.0
lubański,8359.0,6037.0,1721.0
lubelski,32192.0,5969.0,2885.0
lubiński,13982.0,14312.0,3840.0
lubliniecki,12329.0,8748.0,1554.0
lwówecki,6013.0,4648.0,1207.0
lęborski,8162.0,7733.0,1581.0
makowski,11688.0,1807.0,902.0
malborski,8750.0,7145.0,1982.0
miechowski,10698.0,2359.0,894.0
mielecki,28085.0,10949.0,3273.0
mikołowski,14655.0,14332.0,2142.0
milicki,5673.0,2984.0,1294.0
międzychodzki,3812.0,3429.0,1585.0
międzyrzecki,7925.0,5571.0,1603.0
miński,24940.0,14924.0,3796.0
mogileński,7275.0,2711.0,1099.0
moniecki,8054.0,1671.0,1093.0
mrągowski,7126.0,4232.0,1010.0
myszkowski,10250.0,6916.0,2639.0
myślenicki,24916.0,8350.0,2236.0
myśliborski,8463.0,5808.0,1979.0
mławski,12229.0,5460.0,1369.0
nakielski,11065.0,7817.0,2246.0
namysłowski,8155.0,3777.0,1109.0
nidzicki,4898.0,2392.0,598.0
niżański,14030.0,3636.0,1157.0
nowodworski,16432.0,9633.0,3434.0
nowomiejski,8345.0,2357.0,804.0
nowosolski,11894.0,9024.0,2211.0
nowosądecki,47744.0,14819.0,3856.0
nowotarski,34331.0,16347.0,2759.0
nowotomyski,10679.0,6688.0,1515.0
nyski,21747.0,14319.0,4677.0
obornicki,7569.0,6228.0,1471.0
olecki,5326.0,2061.0,539.0
oleski,6432.0,4490.0,4658.0
oleśnicki,15105.0,8265.0,2992.0
olkuski,17708.0,12057.0,4853.0
olsztyński,13577.0,9122.0,3082.0
opatowski,11714.0,1912.0,1126.0
opoczyński,18463.0,4751.0,1537.0
opolski,21941.0,11726.0,12719.0
ostrowiecki,17190.0,10275.0,3849.0
ostrowski,45757.0,20070.0,5559.0
ostrołęcki,17376.0,2369.0,1713.0
ostrzeszowski,9617.0,3745.0,875.0
ostródzki,13840.0,9486.0,2496.0
otwocki,23606.0,12881.0,4413.0
oławski,10710.0,7585.0,2489.0
oświęcimski,30414.0,18428.0,3811.0
pabianicki,19535.0,14045.0,3400.0
pajęczański,9457.0,3403.0,1171.0
parczewski,9008.0,1675.0,791.0
piaseczyński,23460.0,19229.0,4745.0
pilski,21523.0,20161.0,5637.0
piotrkowski,20024.0,4936.0,1549.0
piski,9717.0,4113.0,1109.0
pińczowski,8052.0,2434.0,940.0
pleszewski,9886.0,4360.0,1862.0
poddębicki,8279.0,3005.0,686.0
policki,6601.0,8226.0,2274.0
polkowicki,8647.0,5861.0,1529.0
poznański,37641.0,40354.0,10173.0
proszowicki,8401.0,1814.0,673.0
prudnicki,7084.0,4756.0,3790.0
pruszkowski,26396.0,21785.0,6125.0
przasnyski,9953.0,2854.0,1655.0
przemyski,12339.0,6709.0,1794.0
przeworski,19152.0,3403.0,2263.0
przysuski,10832.0,2074.0,1406.0
pszczyński,18948.0,12614.0,2710.0
pucki,10229.0,11747.0,1641.0
puławski,23174.0,12183.0,3284.0
pułtuski,13620.0,1726.0,859.0
pyrzycki,5765.0,3448.0,1017.0
płocki,20439.0,3528.0,2377.0
płoński,13316.0,7288.0,1215.0
raciborski,10028.0,15370.0,2262.0
radomski,28832.0,7325.0,2833.0
radomszczański,20637.0,8760.0,3048.0
radziejowski,7507.0,2102.0,929.0
radzyński,15185.0,4987.0,868.0
rawicki,8364.0,5574.0,1453.0
rawski,9636.0,2760.0,1041.0
ropczycko-sędziszowski,20668.0,2989.0,1038.0
rybnicki,13563.0,7314.0,1643.0
rycki,12670.0,4241.0,1988.0
rypiński,6569.0,2515.0,895.0
rzeszowski,45122.0,11094.0,3613.0
sandomierski,17682.0,4161.0,1787.0
sanocki,17115.0,8458.0,1524.0
sejneński,2517.0,2466.0,549.0
siedlecki,21261.0,2452.0,1985.0
siemiatycki,8478.0,3435.0,1495.0
sieradzki,23555.0,9381.0,3472.0
sierpecki,10162.0,2146.0,1443.0
skarżyski,13435.0,7863.0,3717.0
skierniewicki,9310.0,1078.0,756.0
sochaczewski,14159.0,5717.0,2427.0
sokołowski,17384.0,2390.0,1277.0
sokólski,12575.0,3774.0,2153.0
stalowowolski,21500.0,9565.0,2943.0
starachowicki,14895.0,7569.0,3503.0
stargardzki,16165.0,11436.0,4000.0
starogardzki,18411.0,13715.0,2485.0
staszowski,11642.0,4976.0,2537.0
strzelecki,4997.0,4556.0,8160.0
strzelecko-drezdenecki,5669.0,5245.0,1178.0
strzeliński,6207.0,4774.0,1322.0
strzyżowski,13863.0,3327.0,1146.0
sulęciński,5081.0,2876.0,831.0
suwalski,6284.0,1304.0,1045.0
szamotulski,11514.0,9001.0,2979.0
szczecinecki,11161.0,7359.0,2919.0
szczycieński,9395.0,5163.0,1952.0
sztumski,4950.0,3979.0,1037.0
szydłowiecki,7548.0,3127.0,902.0
sępoleński,5947.0,2625.0,1064.0
sławieński,9820.0,3669.0,1050.0
słubicki,5241.0,4346.0,1534.0
słupecki,10093.0,3804.0,1766.0
słupski,11593.0,6607.0,2821.0
tarnobrzeski,10311.0,5016.0,978.0
tarnogórski,20771.0,17612.0,4437.0
tarnowski,42799.0,11438.0,4182.0
tatrzański,12675.0,8410.0,1237.0
tczewski,14985.0,12478.0,3617.0
tomaszowski,43540.0,15931.0,4880.0
toruński,12551.0,5211.0,2139.0
trzebnicki,10152.0,7197.0,2350.0
tucholski,7125.0,5004.0,1385.0
turecki,15406.0,5730.0,2717.0
wadowicki,30723.0,13714.0,3426.0
warszawski zachodni,17174.0,11872.0,3565.0
wałbrzyski,21369.0,21979.0,7849.0
wałecki,6059.0,6356.0,2231.0
wejherowski,28680.0,24891.0,4822.0
wielicki,17957.0,11389.0,2829.0
wieluński,16947.0,5622.0,1423.0
wieruszowski,9397.0,2540.0,640.0
wodzisławski,23109.0,21528.0,4047.0
wolsztyński,6596.0,7699.0,779.0
wołomiński,38196.0,17890.0,8289.0
wołowski,6734.0,4918.0,1577.0
wrocławski,14776.0,9743.0,3286.0
wrzesiński,11656.0,8412.0,3569.0
wschowski,6425.0,2460.0,801.0
wysokomazowiecki,16159.0,1808.0,1798.0
wyszkowski,13682.0,5589.0,1481.0
wąbrzeski,5427.0,2459.0,802.0
wągrowiecki,10018.0,8018.0,1549.0
węgorzewski,3010.0,1945.0,485.0
węgrowski,17633.0,2791.0,1088.0
włocławski,12905.0,4878.0,2318.0
włodawski,8468.0,2833.0,895.0
włoszczowski,9000.0,2566.0,1269.0
zambrowski,8723.0,2882.0,991.0
zamojski,25832.0,3945.0,1998.0
zawierciański,13796.0,18237.0,4381.0
zduńskowolski,11454.0,6335.0,1970.0
zgierski,25587.0,17491.0,4094.0
zgorzelecki,11640.0,12106.0,2782.0
zielonogórski,10740.0,9352.0,2002.0
zwoleński,8283.0,2368.0,680.0
ząbkowicki,10701.0,6937.0,1568.0
złotoryjski,6196.0,4341.0,1309.0
złotowski,9855.0,7511.0,2008.0
Łomża,10376.0,6522.0,1659.0
Łódź,108854.0,105377.0,51014.0
łaski,8736.0,4072.0,1169.0
łańcucki,21598.0,4239.0,1312.0
łobeski,4523.0,3138.0,939.0
łomżyński,10055.0,1429.0,1405.0
łosicki,8378.0,1776.0,992.0
łowicki,15684.0,7895.0,1253.0
łukowski,25153.0,5210.0,2369.0
łódzki wschodni,11653.0,5524.0,2525.0
łęczycki,10301.0,3886.0,905.0
łęczyński,10785.0,2243.0,1464.0
Świnoujście,5043.0,6562.0,1467.0
Świętochłowice,6076.0,6182.0,1889.0
średzki,13728.0,9215.0,2864.0
śremski,8420.0,5558.0,1879.0
świdnicki,36434.0,24060.0,7432.0
świdwiński,7358.0,3992.0,1246.0
świebodziński,6820.0,5440.0,1327.0
świecki,12739.0,7491.0,2630.0
Żory,9735.0,7256.0,1651.0
żagański,10752.0,7072.0,2130.0
żarski,12259.0,9208.0,2439.0
żniński,10212.0,5367.0,1828.0
żuromiński,7230.0,2257.0,618.0
żyrardowski,12255.0,6750.0,1879.0
żywiecki,29397.0,14223.0,4954.0
