,PiS,Komitet Wyborczy Polska Jest Najważniejsza,SLD,Ruch Palikota/Twój Ruch,PSL,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,PO,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Prawica,Komitet Wyborczy Wyborców Mniejszość Niemiecka
lubelski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
łukowski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
świdnicki,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
opolski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
Lublin,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
kraśnicki,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
rycki,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
puławski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
łęczyński,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
świebodziński,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
sulęciński,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
strzelecko-drezdenecki,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
Gorzów Wielkopolski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
zielonogórski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
gorzowski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
międzyrzecki,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
słubicki,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
wschowski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
żagański,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
żarski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
krośnieński,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
nowosolski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
Zielona Góra,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
nowodworski,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
wołomiński,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
warszawski zachodni,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
grodziski,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
legionowski,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
piaseczyński,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
pruszkowski,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
otwocki,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
poznański,76772,8387,33764,46750,11960,2010,220354,,,,
Poznań,76772,8387,33764,46750,11960,2010,220354,,,,
bialski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
Zamość,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
krasnostawski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
włodawski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
radzyński,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
tomaszowski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
parczewski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
Biała Podlaska,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
biłgorajski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
Chełm,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
hrubieszowski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
chełmski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
zamojski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
Łódź,90558,5865,35069,39204,9750,1703,171750,590.0,7774.0,,
brzeziński,90558,5865,35069,39204,9750,1703,171750,590.0,7774.0,,
łódzki wschodni,90558,5865,35069,39204,9750,1703,171750,590.0,7774.0,,
śremski,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
koniński,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
średzki,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
turecki,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
gnieźnieński,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
Konin,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
kolski,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
wrzesiński,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
słupecki,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
lubliniecki,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
kłobucki,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
myszkowski,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
częstochowski,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
Częstochowa,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
krakowski,156800,10749,27504,45079,22574,2194,224915,,16765.0,,
miechowski ,156800,10749,27504,45079,22574,2194,224915,,16765.0,,
Kraków,156800,10749,27504,45079,22574,2194,224915,,16765.0,,
olkuski,156800,10749,27504,45079,22574,2194,224915,,16765.0,,
będziński,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
Jaworzno,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
Dąbrowa Górnicza,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
zawierciański,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
Sosnowiec,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
nowotomyski,50023,5440,29638,28633,31192,1801,113226,,,,
złotowski,50023,5440,29638,28633,31192,1801,113226,,,,
międzychodzki,50023,5440,29638,28633,31192,1801,113226,,,,
grodziski,50023,5440,29638,28633,31192,1801,113226,,,,
chodzieski,50023,5440,29638,28633,31192,1801,113226,,,,
pilski,50023,5440,29638,28633,31192,1801,113226,,,,
wągrowiecki,50023,5440,29638,28633,31192,1801,113226,,,,
obornicki,50023,5440,29638,28633,31192,1801,113226,,,,
szamotulski,50023,5440,29638,28633,31192,1801,113226,,,,
wolsztyński,50023,5440,29638,28633,31192,1801,113226,,,,
czarnkowsko-trzcianecki,50023,5440,29638,28633,31192,1801,113226,,,,
nowodworski,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
kwidzyński,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
malborski,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
Sopot,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
gdański,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
starogardzki,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
Gdańsk,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
tczewski,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
sztumski,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
strzyżowski,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
rzeszowski,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
dębicki,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
leżajski,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
mielecki,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
tarnobrzeski,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
łańcucki,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
stalowowolski,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
ropczycko-sędziszowski,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
Tarnobrzeg,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
niżański,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
Rzeszów,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
kolbuszowski,219629,8393,25649,30718,47832,1541,111871,848.0,8555.0,2285.0,
działdowski,45403,3430,15091,22659,23870,1340,82904,963.0,,,
braniewski,45403,3430,15091,22659,23870,1340,82904,963.0,,,
bartoszycki,45403,3430,15091,22659,23870,1340,82904,963.0,,,
lidzbarski,45403,3430,15091,22659,23870,1340,82904,963.0,,,
nowomiejski,45403,3430,15091,22659,23870,1340,82904,963.0,,,
Elbląg,45403,3430,15091,22659,23870,1340,82904,963.0,,,
elbląski,45403,3430,15091,22659,23870,1340,82904,963.0,,,
ostródzki,45403,3430,15091,22659,23870,1340,82904,963.0,,,
iławski,45403,3430,15091,22659,23870,1340,82904,963.0,,,
ełcki,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
nidzicki,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
piski,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
szczycieński,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
węgorzewski,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
giżycki,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
olsztyński,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
kętrzyński,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
olecki,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
gołdapski,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
Olsztyn,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
mrągowski,59996,5276,23020,29122,30713,1643,108522,,,1740.0,
brzeski,112982,7909,13863,17017,25833,1201,76688,,,2457.0,
dąbrowski,112982,7909,13863,17017,25833,1201,76688,,,2457.0,
proszowicki,112982,7909,13863,17017,25833,1201,76688,,,2457.0,
wielicki,112982,7909,13863,17017,25833,1201,76688,,,2457.0,
bocheński,112982,7909,13863,17017,25833,1201,76688,,,2457.0,
Tarnów,112982,7909,13863,17017,25833,1201,76688,,,2457.0,
tarnowski,112982,7909,13863,17017,25833,1201,76688,,,2457.0,
kamieński,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
pyrzycki,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
myśliborski,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
stargardzki,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
gryfiński,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
goleniowski,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
policki,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
Świnoujście,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
gryficki,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
łobeski,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
Szczecin,82529,7062,42165,45111,16545,1815,178124,,6290.0,1379.0,
Jastrzębie-Zdrój,75504,8448,20908,23804,9206,1712,118524,,5100.0,842.0,
rybnicki,75504,8448,20908,23804,9206,1712,118524,,5100.0,842.0,
Żory,75504,8448,20908,23804,9206,1712,118524,,5100.0,842.0,
Rybnik,75504,8448,20908,23804,9206,1712,118524,,5100.0,842.0,
mikołowski,75504,8448,20908,23804,9206,1712,118524,,5100.0,842.0,
raciborski,75504,8448,20908,23804,9206,1712,118524,,5100.0,842.0,
wodzisławski,75504,8448,20908,23804,9206,1712,118524,,5100.0,842.0,
siemiatycki,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
Łomża,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
sejneński,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
wysokomazowiecki,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
bielski,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
suwalski,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
kolneński,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
augustowski,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
sokólski,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
moniecki,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
białostocki,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
zambrowski,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
hajnowski,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
łomżyński,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
grajewski,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
Białystok,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
Suwałki,158572,9616,40603,34397,47338,1669,127224,1205.0,6820.0,1279.0,
ostrowski,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
pułtuski,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
siedlecki,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
łosicki,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
sokołowski,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
makowski,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
Ostrołęka,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
miński,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
wyszkowski,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
garwoliński,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
ostrołęcki,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
węgrowski,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
Siedlce,139926,7435,24418,23490,61136,1917,77181,,5549.0,1252.0,
strzeliński,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
oleśnicki,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
oławski,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
średzki,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
trzebnicki,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
wrocławski,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
górowski,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
wołowski,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
milicki,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
Wrocław,127311,8096,26754,47626,21946,2220,250869,,11685.0,,
